Original ASF,Rounding ASF,Sort Code Name_encoded,Destination Station_encoded,Next Station_encoded
12000,12000,60,64,20
21300,21300,184,55,18
23000,23000,79,107,29
22400,22400,174,42,13
21300,21300,224,38,29
42600,42600,110,30,29
18300,18300,183,136,34
14700,14700,230,119,31
10100,10100,105,70,21
22300,22300,110,30,9
22300,22300,19,45,14
22300,22300,27,16,29
22300,22300,189,70,29
22300,22300,155,42,29
22400,22400,61,30,9
14700,14700,77,120,32
22300,22300,75,96,24
22300,22300,221,16,5
14700,14700,190,98,25
22300,22300,121,9,13
44600,44600,110,30,9
11500,11500,185,96,24
22300,22300,102,45,14
24400,24400,12,79,22
18200,18200,6,154,29
18300,18300,160,48,15
14700,14700,71,118,30
21300,21300,153,30,29
36600,36600,235,112,29
29400,29400,229,120,32
14700,14700,14,10,3
21300,21300,34,30,9
17300,17300,159,80,23
21300,21300,110,30,9
22300,22300,284,79,22
21300,21300,34,30,9
21300,21300,156,98,25
22300,22300,270,149,36
18300,18300,235,112,29
22400,22400,134,111,27
11000,11000,141,96,24
23400,23400,102,45,14
14700,14700,47,10,29
22300,22300,265,37,29
14700,14700,232,119,31
44600,44600,84,37,26
14700,14700,71,118,30
11000,11000,69,52,17
14700,14700,231,120,32
14700,14700,87,39,12
17300,17300,87,39,12
14700,14700,159,80,23
16200,16200,24,155,41
26000,26000,255,6,16
18300,18300,268,73,7
21300,21300,292,155,29
21300,21300,112,38,29
17300,17300,275,153,29
22400,22400,210,107,29
21300,21300,241,11,29
21300,21300,156,98,29
21300,21300,156,98,29
23400,23400,105,70,21
21300,21300,112,38,9
66900,66900,59,149,36
16200,16200,59,149,36
22300,22300,83,107,29
14700,14700,275,153,39
14700,14700,153,80,29
9100,9100,297,70,21
12500,12500,210,107,29
18300,18300,32,19,29
9100,9100,144,70,21
18300,18300,76,157,42
22300,22300,210,107,26
23400,23400,113,52,17
14200,14200,107,64,20
20300,20300,130,64,29
14700,14700,14,10,3
152000,152000,22,50,35
32400,32400,209,105,7
42600,42600,135,46,2
18300,18300,278,112,29
17200,17200,14,10,29
22400,22400,185,96,29
9100,9100,297,70,21
22400,22400,97,42,29
20300,20300,2,112,29
22400,22400,218,157,29
14700,14700,14,10,29
14700,14700,232,119,29
22300,22300,59,149,29
9100,9100,144,70,21
17200,17200,190,98,25
22400,22400,110,30,29
14700,14700,159,80,23
21300,21300,272,37,26
22400,22400,111,30,9
21300,21300,156,98,25
21300,21300,76,157,42
16200,16200,254,112,28
19200,19200,84,37,29
21300,21300,216,111,27
18300,18300,50,55,29
21300,21300,292,155,41
21300,21300,241,11,4
85200,85200,103,33,16
10100,10100,188,7,1
9100,9100,144,70,21
16200,16200,288,154,40
22300,22300,19,45,14
18300,18300,32,19,29
16200,16200,137,94,10
16200,16200,87,39,12
15200,15200,232,119,31
14700,14700,275,153,39
16200,16200,159,80,29
15200,15200,232,119,31
44600,44600,299,52,17
14700,14700,159,80,29
14700,14700,275,153,29
16200,16200,21,2,29
17200,17200,302,30,29
20300,20300,65,149,36
22300,22300,210,107,26
14700,14700,275,153,39
22300,22300,23,79,29
22400,22400,131,61,26
22300,22300,121,9,13
20300,20300,9,9,29
22300,22300,273,152,29
15700,15700,251,137,35
22300,22300,156,98,29
14700,14700,228,118,29
18300,18300,183,136,34
22400,22400,115,152,38
14700,14700,229,120,32
36600,36600,173,136,34
14700,14700,232,119,29
17300,17300,229,120,32
21300,21300,86,38,29
18300,18300,249,136,34
44100,44100,190,98,29
12500,12500,84,37,29
11500,11500,270,149,36
12000,12000,4,64,20
11000,11000,235,112,28
14700,14700,275,153,39
12500,12500,282,107,29
21300,21300,130,64,29
23400,23400,185,96,24
21300,21300,216,111,27
22300,22300,300,61,26
22300,22300,4,64,29
22400,22400,156,98,29
23400,23400,270,149,36
21300,21300,224,38,9
22300,22300,281,96,29
22300,22300,156,98,29
22300,22300,156,98,29
18300,18300,32,19,6
15500,15500,288,154,40
14700,14700,230,119,31
29400,29400,87,39,12
22300,22300,105,70,21
22300,22300,144,70,21
14700,14700,14,10,3
10100,10100,110,30,9
16200,16200,288,154,29
11100,11100,76,157,29
21300,21300,35,49,7
32500,32500,262,99,16
32500,32500,262,99,16
23300,23300,1,2,0
22300,22300,142,149,36
10100,10100,218,19,6
18200,18200,185,96,24
18300,18300,298,157,42
23400,23400,142,149,36
22300,22300,97,42,13
156100,156100,273,152,29
11600,11600,260,27,10
22400,22400,97,42,29
21300,21300,15,11,4
15700,15700,259,144,35
17300,17300,190,98,25
15700,15700,208,77,35
42200,42200,18,88,16
19800,19800,123,56,35
19800,19800,3,4,35
31500,31500,148,72,16
32500,32500,143,21,16
38600,38600,293,155,29
13200,13200,194,100,7
18300,18300,236,112,28
17300,17300,159,80,29
14700,14700,176,111,29
14700,14700,105,70,21
20300,20300,102,45,14
16200,16200,24,155,41
14700,14700,153,80,23
22300,22300,107,64,29
22300,22300,223,117,27
21300,21300,61,30,9
81200,81200,83,107,29
21300,21300,224,38,9
22300,22300,96,64,20
14700,14700,232,119,29
22300,22300,134,111,27
17300,17300,232,119,31
14700,14700,230,119,31
14700,14700,229,120,32
17300,17300,275,153,39
17200,17200,190,98,25
16200,16200,180,79,22
16200,16200,223,117,29
16200,16200,31,16,29
24400,24400,227,152,38
14700,14700,228,118,30
18300,18300,236,112,28
21300,21300,292,155,41
